id,x0,x1,x2,fitness8,fitness6.5,fitness5,fitness6,fitness4,fitness5.5,fitness8.5,fitness9,fitness9.5,fitness10,fitness7.5,fitness7,fitness4.5,fitness3.5,fitness2.5,fitness2,fitness0.5,fitness1,fitness1.5
20897,6.60323,4.00173,7.66037,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21153,8.23979,4.52656,8.60638,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA
21334,7.60482,3.97401,8.06822,NA,NA,NA,NA,NA,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21532,7.29043,3.88548,9.13484,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA
21636,6.3776,4.97122,8.72506,NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21838,7.27994,6.27573,8.81364,NA,NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22164,7.62271,7.76624,9.7897,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22301,6.77753,8.13309,7.47834,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22477,7.78611,8.22272,7.66784,NA,NA,NA,NA,NA,NA,NA,NA,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22791,7.62308,8.58803,7.06778,NA,NA,NA,NA,NA,NA,NA,NA,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22806,7.46302,8.22796,9.1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
23055,6.64023,7.68251,8.86478,NA,NA,NA,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23316,6.42619,6.6641,8.86522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA
23531,7.53234,6.35492,7.51142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA,NA
23699,7.97816,5.57482,8.52658,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23931,8.79804,6.61161,8.14097,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24181,7.49792,7.38275,8.06159,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
