id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness2.5
23391,4.37445,5,-0.120094,NA,4167.562,NA,NA,NA,NA
23402,5,5,-0.538225,NA,5487.167,NA,NA,NA,NA
23672,5,4.77327,-1.01723,NA,7746.081,NA,NA,NA,NA
23820,4.20677,5,-1.43444,NA,6777.649,NA,NA,NA,NA
23994,2.19742,4.79318,-0.371732,NA,1224.556,NA,NA,NA,NA
24224,3.71818,4.89731,0.273991,NA,1880.01,NA,NA,NA,NA
24422,4.81238,5,-0.903009,NA,19799.487,NA,NA,NA,NA
24602,5,5,-0.578307,NA,6502.965,NA,NA,NA,NA
24960,5,5,-2.96613,1050.73,NA,NA,NA,NA,NA
25005,5,5,-1.29271,NA,NA,NA,2855.38,NA,NA
25205,3.26662,4.81023,-0.820139,975.329,NA,NA,NA,NA,NA
25487,2.58529,4.37571,-1.7247,NA,88.098,NA,NA,NA,NA
25685,5,5,-0.975703,NA,9823.736,NA,NA,NA,NA
25990,5,5,-0.594415,NA,8577.58,NA,NA,NA,NA
26017,5,5,-0.630575,NA,9001.924,NA,NA,NA,NA
26245,5,5,-0.894008,NA,13956.385,NA,NA,NA,NA
26440,4.87874,4.44174,-0.0383445,NA,2504.336,NA,NA,NA,NA
26711,5,4.45789,-1.47518,NA,3190.082,NA,NA,NA,NA
26883,5,4.59227,-0.594875,NA,3099.1,NA,NA,NA,NA
27032,5,3.61307,-0.796388,NA,2411.073,NA,NA,NA,NA
27386,5,4.72954,0.267926,NA,3343.045,NA,NA,NA,NA
27439,5,5,0.187765,NA,1706.706,NA,NA,NA,NA
27755,5,5,-0.808057,NA,15382.129,NA,NA,NA,NA
27941,5,5,0.424122,NA,2848.179,NA,NA,NA,NA
28173,5,5,1.13399,NA,858.547,NA,NA,NA,NA
28224,5,3.88494,1.19532,NA,473.906,NA,NA,NA,NA
28546,4.81389,4.36433,0.615135,NA,638.315,NA,NA,NA,NA
28765,4.56466,5,-0.966355,NA,2464.759,NA,NA,NA,NA
28980,4.323,4.93962,-1.51396,NA,7851.477,NA,NA,NA,NA
29031,4.83459,5,-1.81504,NA,2320.208,NA,NA,NA,NA
29211,4.62281,5,-1.89894,NA,2527.087,NA,NA,NA,NA
29418,5,5,-1.8936,NA,4195.001,NA,NA,NA,NA
29607,4.89491,4.93217,-1.99475,NA,11464.968,NA,NA,NA,NA
29790,4.36088,5,-1.29462,NA,5036.47,NA,NA,NA,NA
30121,5,5,-0.858946,NA,12526.781,NA,NA,NA,NA
30307,5,4.48929,-0.315787,NA,630.863,NA,NA,NA,NA
30528,5,5,-0.783703,NA,13015.462,NA,NA,NA,NA
30721,4.73158,4.4246,-1.35905,NA,5711.931,NA,NA,NA,NA
30802,4.12728,3.85812,1.02014,NA,159.854,NA,NA,NA,NA
31064,5,4.76394,0.44202,NA,3097.047,NA,NA,NA,NA
31366,5,5,-2.05224,NA,5352.575,NA,NA,NA,NA
31488,5,3.85133,-1.94716,NA,2193.57,NA,NA,NA,NA
31676,5,4.02805,-1.55117,NA,1102.1,NA,NA,NA,NA
31825,4.85948,5,-2.18658,NA,3807.699,NA,NA,NA,NA
32147,5,5,-2.90459,2861.782,NA,NA,NA,NA,NA
32234,5,5,-4.11191,NA,1836.817,NA,NA,NA,NA
32422,5,5,-2.81327,NA,1247.422,NA,NA,NA,NA
32755,5,5,-3.20102,NA,1524.643,NA,NA,NA,NA
32962,5,5,-1.86132,NA,4094.551,NA,NA,NA,NA
33069,4.79823,5,-0.761956,NA,16362.699,NA,NA,NA,NA
33293,3.93126,4.11736,-0.742991,492.321,NA,NA,NA,NA,NA
33426,5,5,-0.751798,NA,16927.782,NA,NA,NA,NA
33783,5,5,-0.972743,NA,8671.785,NA,NA,NA,NA
33874,5,5,-1.55253,NA,NA,1618.299,NA,NA,NA
34181,5,5,-0.875432,NA,12188.514,NA,NA,NA,NA
34385,5,5,-0.824154,NA,12970.051,NA,NA,NA,NA
34523,5,5,-0.909242,3509.873,NA,NA,NA,NA,NA
34673,5,5,-0.144007,NA,NA,4613.19,NA,NA,NA
34939,5,5,-0.687035,NA,11165.599,NA,NA,NA,NA
35150,4.75679,5,-0.768372,NA,15116.307,NA,NA,NA,NA
35288,5,5,-0.515094,NA,3139.886,NA,NA,NA,NA
35533,4.72893,5,-1.02821,NA,8232.212,NA,NA,NA,NA
35628,5,5,-0.830998,NA,NA,4474.144,NA,NA,NA
35959,4.79014,5,0.0139931,NA,NA,NA,1589.095,NA,NA
36111,5,5,-1.05631,NA,4082.51,NA,NA,NA,NA
36233,5,5,-0.805897,NA,16054.83,NA,NA,NA,NA
36384,5,5,-0.920216,NA,10874.27,NA,NA,NA,NA
36721,5,5,-1.63065,2619.592,NA,NA,NA,NA,NA
36798,5,4.83221,0.186534,NA,2218.443,NA,NA,NA,NA
37106,5,5,-0.674727,NA,10752.437,NA,NA,NA,NA
37286,4.61355,4.78288,-0.565719,NA,3898.625,NA,NA,NA,NA
37390,4.80525,5,-0.829191,NA,21470.192,NA,NA,NA,NA
37629,5,3.86668,-0.546638,329.151,NA,NA,NA,NA,NA
37820,5,4.24152,-1.74061,NA,859.191,NA,NA,NA,NA
38055,5,5,-1.04837,NA,5583.038,NA,NA,NA,NA
38253,5,5,-0.700773,NA,11583.597,NA,NA,NA,NA
38578,4.26876,5,-2.71412,NA,482.389,NA,NA,NA,NA
38590,5,4.85058,-3.01559,NA,4320.375,NA,NA,NA,NA
38844,5,5,-2.18901,NA,2793.861,NA,NA,NA,NA
39078,5,5,-1.78608,NA,606.686,NA,NA,NA,NA
39337,3.73378,5,-0.995181,NA,3606.027,NA,NA,NA,NA
39501,4.23098,4.89151,-1.32064,NA,10787.654,NA,NA,NA,NA
39759,3.81788,4.69476,-1.47374,998.718,NA,NA,NA,NA,NA
39836,4.07188,4.68548,-1.45412,NA,2607.277,NA,NA,NA,NA
39992,4.16368,5,-0.0860401,NA,3223.158,NA,NA,NA,NA
40221,4.93208,5,-0.905471,NA,14109.286,NA,NA,NA,NA
40480,4.65029,5,-0.719096,NA,8767.465,NA,NA,NA,NA
40758,5,5,-0.75423,12141.874,NA,NA,NA,NA,NA
40918,4.99232,5,-1.04638,NA,4836.499,NA,NA,NA,NA
41106,5,5,-0.852243,NA,12640.979,NA,NA,NA,NA
41221,5,4.79355,-0.749043,NA,16022.134,NA,NA,NA,NA
41380,5,5,-1.38038,7214.861,NA,NA,NA,NA,NA
41637,4.98062,5,-0.792169,12523.529,NA,NA,NA,NA,NA
41843,5,5,-0.833574,NA,12886.768,NA,NA,NA,NA
42144,5,5,-0.91249,10063.567,NA,NA,NA,NA,NA
42315,4.97329,4.05381,-0.242618,NA,2096.728,NA,NA,NA,NA
42491,4.89091,5,-1.0653,NA,4651.593,NA,NA,NA,NA
42621,3.13076,5,-1.41231,NA,3316.839,NA,NA,NA,NA
42888,5,5,-0.681736,NA,10992.078,NA,NA,NA,NA
43113,5,5,-1.04997,NA,4462.85,NA,NA,NA,NA
43344,4.97709,5,-1.88088,NA,5573.828,NA,NA,NA,NA
43480,5,4.38256,-1.63001,NA,4237.209,NA,NA,NA,NA
43764,4.94999,3.67669,-0.868179,NA,4398.088,NA,NA,NA,NA
43873,5,4.04905,-0.657643,1058.173,NA,NA,NA,NA,NA
44058,4.61745,5,-0.586878,NA,3862.508,NA,NA,NA,NA
44321,5,4.68649,-0.77308,NA,11656.211,NA,NA,NA,NA
44440,5,4.14238,-0.269156,NA,4204.168,NA,NA,NA,NA
44730,5,4.51706,-0.600352,NA,209.911,NA,NA,NA,NA
44926,5,5,-0.522115,NA,3521.067,NA,NA,NA,NA
45130,5,5,-0.852377,NA,12638.83,NA,NA,NA,NA
45250,5,5,-0.561348,NA,5623.761,NA,NA,NA,NA
45396,5,5,-0.803731,NA,13056.21,NA,NA,NA,NA
45771,5,4.89226,-0.520347,NA,4498.749,NA,NA,NA,NA
45835,5,3.31076,-1.42352,NA,5254.716,NA,NA,NA,NA
46123,5,3.79375,-1.01373,NA,2408.691,NA,NA,NA,NA
46283,5,4.2054,-0.151908,NA,4348.239,NA,NA,NA,NA
46476,3.8672,4.88,-0.967296,NA,3490.845,NA,NA,NA,NA
46765,5,5,-0.902943,NA,11447.402,NA,NA,NA,NA
46847,5,4.26756,-1.50264,5330.77,NA,NA,NA,NA,NA
47011,5,4.35664,-1.26649,4595.424,NA,NA,NA,NA,NA
47240,4.76233,4.40436,-1.93947,1217.229,NA,NA,NA,NA,NA
47509,4.97036,5,-2.09042,NA,5492.485,NA,NA,NA,NA
47579,4.32662,5,-1.34419,NA,6464.785,NA,NA,NA,NA
47887,4.59806,5,-2.02838,NA,2498.251,NA,NA,NA,NA
48079,3.83403,5,-1.85172,NA,1291.024,NA,NA,NA,NA
48261,5,5,-1.88254,NA,3919.278,NA,NA,NA,NA
48384,4.7624,5,-0.914294,NA,13167.596,NA,NA,NA,NA
