id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness9.5,fitness10,fitness6
18123,7.29726,8.10562,7.40708,NA,NA,0.858,NA,NA,NA,NA,NA,NA
18351,7.38154,8.49887,7.75905,0.745,NA,NA,NA,NA,NA,NA,NA,NA
18483,7.33557,7.93566,8.82333,0.666,NA,NA,NA,NA,NA,NA,NA,NA
18792,7.09531,7.02126,7.83517,NA,NA,NA,0.516,NA,NA,NA,NA,NA
18809,7.1615,7.4046,8.01278,0.84,NA,NA,NA,NA,NA,NA,NA,NA
19113,8.28276,7.49796,7.96872,0.849,NA,NA,NA,NA,NA,NA,NA,NA
19259,8.27568,6.76342,7.4804,NA,NA,0.739,NA,NA,NA,NA,NA,NA
19427,8.32564,7.66212,8.13316,NA,NA,0.881,NA,NA,NA,NA,NA,NA
19698,6.9864,7.51189,7.80401,NA,NA,0.864,NA,NA,NA,NA,NA,NA
19837,7.83881,7.86362,8.26356,NA,0.913,NA,NA,NA,NA,NA,NA,NA
20065,7.4519,8.2346,8.0302,NA,NA,0.875,NA,NA,NA,NA,NA,NA
20325,7.389,7.18286,9.10689,NA,NA,0.605,NA,NA,NA,NA,NA,NA
20525,8.00499,6.79748,8.57968,NA,0.674,NA,NA,NA,NA,NA,NA,NA
20605,7.43023,8.00706,8.12942,NA,NA,NA,NA,NA,0.802,NA,NA,NA
20829,8.12829,8.53594,7.96772,NA,NA,NA,NA,0.614,NA,NA,NA,NA
21066,7.83805,8.27186,7.9592,NA,NA,0.868,NA,NA,NA,NA,NA,NA
21273,7.34541,8.21454,7.83831,NA,NA,NA,NA,0.728,NA,NA,NA,NA
21555,7.37763,7.78443,7.13298,NA,NA,NA,NA,NA,0.831,NA,NA,NA
21653,7.39919,7.84422,8.54204,NA,0.829,NA,NA,NA,NA,NA,NA,NA
21951,7.66004,7.78296,7.31365,NA,NA,NA,NA,NA,0.897,NA,NA,NA
22129,7.84342,9.8297,7.55344,NA,NA,0.525,NA,NA,NA,NA,NA,NA
22319,8.07829,8.59747,8.00476,0.677,NA,NA,NA,NA,NA,NA,NA,NA
22451,8.40658,7.4892,7.36369,0.822,NA,NA,NA,NA,NA,NA,NA,NA
22797,7.86491,6.9977,7.2367,NA,NA,NA,NA,0.662,NA,NA,NA,NA
22937,7.93119,8.06004,8.10234,NA,NA,NA,NA,0.7,NA,NA,NA,NA
23113,8.35023,7.21633,7.78144,NA,NA,NA,NA,NA,0.709,NA,NA,NA
23382,7.59859,7.06725,7.93334,NA,NA,NA,NA,NA,0.822,NA,NA,NA
23536,6.79798,7.50084,8.41991,NA,0.722,NA,NA,NA,NA,NA,NA,NA
23707,7.77246,7.26069,8.31093,NA,0.846,NA,NA,NA,NA,NA,NA,NA
23804,7.22242,8.20576,8.71361,NA,0.722,NA,NA,NA,NA,NA,NA,NA
24174,7.76554,7.73538,8.79854,0.705,NA,NA,NA,NA,NA,NA,NA,NA
24286,8.20077,7.62979,8.00907,NA,NA,NA,NA,NA,0.819,NA,NA,NA
24466,8.12195,7.43114,8.26086,NA,NA,NA,NA,NA,0.776,NA,NA,NA
24683,7.84336,7.92537,7.63572,0.914,NA,NA,NA,NA,NA,NA,NA,NA
24897,8.75773,7.61504,7.47163,NA,NA,NA,NA,NA,0.75,NA,NA,NA
25052,8.5077,7.58005,6.61445,NA,NA,0.612,NA,NA,NA,NA,NA,NA
25324,7.30247,7.02844,6.62753,NA,0.627,NA,NA,NA,NA,NA,NA,NA
25544,7.3424,7.48776,6.82904,NA,NA,NA,NA,NA,0.688,NA,NA,NA
25603,7.12892,7.73756,6.80049,NA,0.756,NA,NA,NA,NA,NA,NA,NA
25872,7.13448,7.25937,7.93304,NA,NA,0.867,NA,NA,NA,NA,NA,NA
26092,7.74782,7.04527,7.70975,NA,NA,NA,NA,NA,0.847,NA,NA,NA
26295,6.77856,7.16837,7.74965,NA,NA,0.752,NA,NA,NA,NA,NA,NA
26437,8.69137,7.89284,7.26133,NA,NA,0.787,NA,NA,NA,NA,NA,NA
26681,9.25513,7.32797,7.65254,NA,NA,0.64,NA,NA,NA,NA,NA,NA
26990,8.64501,6.9963,7.05002,NA,0.652,NA,NA,NA,NA,NA,NA,NA
27172,8.70408,8.39967,7.09457,NA,NA,NA,NA,NA,0.593,NA,NA,NA
27233,8.56593,6.67754,7.00348,NA,NA,NA,NA,NA,0.48,NA,NA,NA
27510,7.62907,7.36949,7.82162,0.898,NA,NA,NA,NA,NA,NA,NA,NA
27678,7.92812,7.39396,8.06331,NA,NA,0.935,NA,NA,NA,NA,NA,NA
27841,9.02078,7.93506,7.71473,NA,NA,0.72,NA,NA,NA,NA,NA,NA
28082,8.06788,7.97612,7.65475,NA,NA,NA,NA,NA,NA,0.642,NA,NA
28324,8.98487,7.76369,7.77355,NA,NA,0.717,NA,NA,NA,NA,NA,NA
28583,8.53796,6.7453,8.33294,NA,NA,0.572,NA,NA,NA,NA,NA,NA
28720,7.3641,8.45832,8.29603,NA,NA,NA,NA,NA,0.715,NA,NA,NA
28854,6.80307,8.76832,7.54529,NA,NA,0.619,NA,NA,NA,NA,NA,NA
29030,8.04846,8.13354,7.44258,NA,NA,0.901,NA,NA,NA,NA,NA,NA
29320,7.06775,7.10594,7.43812,NA,NA,0.809,NA,NA,NA,NA,NA,NA
29486,7.17612,7.20654,7.5566,NA,NA,NA,NA,0.587,NA,NA,NA,NA
