id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
21169,7.53608,7.8322,7.48887,NA,0.942,NA,NA,NA,NA,NA,NA,NA
21261,8.03132,7.65269,7.95092,0.951,NA,NA,NA,NA,NA,NA,NA,NA
21512,7.72843,7.26529,7.85862,NA,NA,NA,NA,NA,0.837,NA,NA,NA
21747,6.86732,7.59097,7.35201,0.812,NA,NA,NA,NA,NA,NA,NA,NA
21833,7.06979,8.36915,8.01301,NA,NA,NA,NA,NA,0.74,NA,NA,NA
22144,7.56917,8.11087,8.25959,0.854,NA,NA,NA,NA,NA,NA,NA,NA
22229,7.59458,7.87685,7.51175,NA,NA,NA,NA,0.875,NA,NA,NA,NA
22467,8.24407,7.18499,7.06257,0.763,NA,NA,NA,NA,NA,NA,NA,NA
22687,7.81658,6.68464,7.07343,0.692,NA,NA,NA,NA,NA,NA,NA,NA
22859,7.40468,6.77635,7.47031,NA,NA,NA,NA,0.739,NA,NA,NA,NA
23082,8.7279,7.30034,7.4489,0.744,NA,NA,NA,NA,NA,NA,NA,NA
23387,8.35589,7.70507,8.7542,NA,NA,NA,NA,NA,0.681,NA,NA,NA
23550,7.34324,7.68896,8.92494,NA,NA,NA,NA,0.606,NA,NA,NA,NA
23746,7.06578,7.4492,7.65943,NA,NA,NA,NA,NA,0.768,NA,NA,NA
23898,7.98869,7.24925,8.24994,0.882,NA,NA,NA,NA,NA,NA,NA,NA
24194,7.27598,7.25946,6.96322,NA,0.793,NA,NA,NA,NA,NA,NA,NA
24392,7.28541,8.0194,6.93176,NA,NA,NA,NA,NA,0.689,NA,NA,NA
24542,6.87232,7.75847,8.07825,NA,NA,NA,0.643,NA,NA,NA,NA,NA
24659,7.81613,8.03027,8.64631,NA,NA,NA,0.606,NA,NA,NA,NA,NA
24995,7.37361,8.32843,9.10476,NA,NA,NA,NA,NA,0.507,NA,NA,NA
25137,7.62293,7.21233,7.79377,NA,NA,NA,NA,NA,0.811,NA,NA,NA
25260,7.3149,7.9623,7.31129,NA,NA,NA,NA,0.867,NA,NA,NA,NA
25472,7.78148,7.86457,7.69568,0.973,NA,NA,NA,NA,NA,NA,NA,NA
25663,7.30898,8.43744,8.11763,NA,NA,NA,NA,0.776,NA,NA,NA,NA
25873,7.48653,8.07776,8.48451,NA,NA,NA,NA,NA,0.76,NA,NA,NA
26038,8.4486,7.97729,7.82288,NA,NA,NA,NA,NA,0.728,NA,NA,NA
26226,9.05721,8.11499,7.85061,0.671,NA,NA,NA,NA,NA,NA,NA,NA
26528,8.00558,8.01641,7.9504,0.924,NA,NA,NA,NA,NA,NA,NA,NA
26759,7.8306,8.16574,7.46347,NA,0.903,NA,NA,NA,NA,NA,NA,NA
26861,8.1129,8.84955,7.38733,0.738,NA,NA,NA,NA,NA,NA,NA,NA
27200,7.2894,9.25849,7.01817,NA,NA,NA,NA,0.496,NA,NA,NA,NA
27304,7.46493,8.77429,7.80876,NA,0.803,NA,NA,NA,NA,NA,NA,NA
27413,7.83729,8.58115,7.89242,NA,0.844,NA,NA,NA,NA,NA,NA,NA
27669,7.57861,8.1178,7.83771,NA,NA,NA,NA,NA,0.791,NA,NA,NA
27858,6.85448,7.71735,6.85857,NA,NA,NA,NA,NA,0.628,NA,NA,NA
28013,7.49291,7.59605,7.81705,NA,NA,NA,NA,NA,0.866,NA,NA,NA
28273,7.27243,8.96467,7.41926,NA,NA,NA,NA,NA,0.565,NA,NA,NA
28423,7.53177,8.81925,7.28338,NA,0.73,NA,NA,NA,NA,NA,NA,NA
28759,7.39412,8.30662,8.1203,NA,NA,NA,NA,NA,0.799,NA,NA,NA
28944,6.849,7.88049,7.63038,0.792,NA,NA,NA,NA,NA,NA,NA,NA
29077,7.31659,6.4898,8.03327,NA,NA,NA,0.477,NA,NA,NA,NA,NA
29315,6.8835,6.593,7.40558,0.577,NA,NA,NA,NA,NA,NA,NA,NA
29532,7.88568,7.70379,8.73797,NA,NA,NA,NA,0.769,NA,NA,NA,NA
29644,7.7424,8.09031,8.66294,NA,NA,0.521,NA,NA,NA,NA,NA,NA
29873,6.76088,8.01159,8.16811,NA,0.747,NA,NA,NA,NA,NA,NA,NA
30172,7.69902,7.46094,7.87893,0.971,NA,NA,NA,NA,NA,NA,NA,NA
30296,7.3099,7.66846,7.11822,0.841,NA,NA,NA,NA,NA,NA,NA,NA
30443,7.05449,7.7285,7.69792,NA,NA,NA,NA,0.831,NA,NA,NA,NA
30641,7.89414,7.82648,7.60068,0.936,NA,NA,NA,NA,NA,NA,NA,NA
30854,7.33472,7.6524,7.42266,0.901,NA,NA,NA,NA,NA,NA,NA,NA
31034,7.03225,8.2975,8.17545,0.739,NA,NA,NA,NA,NA,NA,NA,NA
31294,7.76125,8.25861,7.68113,0.899,NA,NA,NA,NA,NA,NA,NA,NA
31587,7.23183,7.27898,7.95902,NA,NA,NA,NA,NA,0.776,NA,NA,NA
31609,6.8824,7.77487,7.22071,NA,NA,NA,NA,NA,0.718,NA,NA,NA
31989,7.34841,7.50414,7.40437,NA,0.942,NA,NA,NA,NA,NA,NA,NA
32150,7.21308,9.00652,7.4241,NA,0.658,NA,NA,NA,NA,NA,NA,NA
32258,7.5471,8.46405,8.40886,NA,0.765,NA,NA,NA,NA,NA,NA,NA
32511,7.68913,7.82244,8.69947,NA,NA,NA,NA,0.766,NA,NA,NA,NA
32709,8.45141,8.06275,7.59861,NA,0.873,NA,NA,NA,NA,NA,NA,NA
32907,8.3712,7.64025,7.80923,0.862,NA,NA,NA,NA,NA,NA,NA,NA
33071,6.752,7.66052,7.41743,NA,NA,NA,NA,0.663,NA,NA,NA,NA
33211,6.55803,7.38455,8.48307,NA,0.592,NA,NA,NA,NA,NA,NA,NA
33406,6.77868,8.30067,7.7884,0.744,NA,NA,NA,NA,NA,NA,NA,NA
33785,7.9656,8.49809,6.85287,NA,NA,NA,NA,NA,0.658,NA,NA,NA
33903,7.33939,7.69721,6.4966,0.632,NA,NA,NA,NA,NA,NA,NA,NA
34135,6.92639,8.5498,6.94471,0.623,NA,NA,NA,NA,NA,NA,NA,NA
34250,7.12427,7.92773,7.88397,NA,0.904,NA,NA,NA,NA,NA,NA,NA
34543,7.3583,7.90384,8.15941,NA,0.91,NA,NA,NA,NA,NA,NA,NA
