id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
30763,0.00550562,4.15925,5,NA,1900.468,NA,NA,NA
30916,-0.566535,5,5,NA,5895.263,NA,NA,NA
31061,-0.568615,4.93736,4.61804,NA,4126.349,NA,NA,NA
31233,-2.14381,5,5,NA,3885.374,NA,NA,NA
31424,-0.886412,5,5,NA,12911.165,NA,NA,NA
31751,-1.62532,4.07908,5,NA,1833.21,NA,NA,NA
31889,-0.639743,5,4.68191,NA,8264.878,NA,NA,NA
32194,-0.677504,5,4.67912,NA,9401.406,NA,NA,NA
32379,-0.232642,5,4.43079,NA,2631.821,NA,NA,NA
32589,-0.682716,5,4.68308,NA,9755.975,NA,NA,NA
32611,-0.566591,5,5,NA,5898.182,NA,NA,NA
32989,-0.8283,5,5,NA,12936.777,NA,NA,NA
33022,-0.669368,4.77375,5,NA,12882.734,NA,NA,NA
33390,-0.561463,5,5,3138.871,NA,NA,NA,NA
33428,-0.736756,5,5,NA,12445.212,NA,NA,NA
33667,-0.768301,5,5,NA,12900.679,NA,NA,NA
33844,-0.651535,5,4.90669,NA,14918.061,NA,NA,NA
34178,-0.708172,5,5,NA,11788.992,NA,NA,NA
34332,-0.735278,5,5,NA,12416.81,NA,NA,NA
34429,-0.622304,4.56081,5,NA,2194.386,NA,NA,NA
34637,-0.748399,5,5,NA,15132.809,NA,NA,NA
34946,-0.58733,5,5,NA,9081.853,NA,NA,NA
35199,-0.912958,5,5,NA,11124.886,NA,NA,NA
35361,0.415748,5,4.89234,NA,3878.426,NA,NA,NA
35507,0.774816,5,5,1567.767,NA,NA,NA,NA
35702,-1.03103,4.66117,4.64311,NA,3003.989,NA,NA,NA
35929,-0.750215,5,5,13354.089,NA,NA,NA,NA
36036,-0.920017,5,5,NA,10881.327,NA,NA,NA
36380,-1.02854,5,5,NA,5717.643,NA,NA,NA
36536,-0.806375,5,5,NA,13052.34,NA,NA,NA
36616,-0.923406,4.88988,5,NA,14160.839,NA,NA,NA
36823,-0.766902,4.8707,5,NA,17144.448,NA,NA,NA
37010,-0.653804,5,5,NA,10415.044,NA,NA,NA
37392,-2.05464,4.77592,4.82517,7800.408,NA,NA,NA,NA
37425,-1.52678,4.41247,5,NA,5597.373,NA,NA,NA
37628,-0.765409,4.72183,5,NA,13513.78,NA,NA,NA
37966,-0.705005,5,5,NA,11702.805,NA,NA,NA
38176,-0.807768,5,5,NA,13049.43,NA,NA,NA
38287,-0.589428,5,5,NA,9413.785,NA,NA,NA
38587,-2.09615,5,5,NA,4803.296,NA,NA,NA
38786,-0.941467,4.87916,5,NA,13338.769,NA,NA,NA
38930,-1.02841,5,5,6052.276,NA,NA,NA,NA
39158,-0.750228,5,5,7792.782,NA,NA,NA,NA
39305,-0.79849,4.59692,5,NA,5842.76,NA,NA,NA
39590,-0.923012,5,4.94114,NA,13114.865,NA,NA,NA
39617,-0.830445,5,5,NA,12917.475,NA,NA,NA
39898,-1.94921,5,5,NA,5201.209,NA,NA,NA
40032,-0.651642,5,5,NA,9886.151,NA,NA,NA
40270,-0.667476,5,5,NA,10492.751,NA,NA,NA
40422,-1.05109,5,5,NA,5430.682,NA,NA,NA
40657,-1.62692,4.40476,4.8558,NA,3842.481,NA,NA,NA
40967,-0.75727,4.74088,4.70917,NA,17628.423,NA,NA,NA
41159,-1.01434,5,4.89425,NA,8545.072,NA,NA,NA
41346,-0.949618,5,5,NA,9721.355,NA,NA,NA
41564,-1.3423,4.10229,4.82928,NA,4823.266,NA,NA,NA
