id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5,fitness2.5,fitness3,fitness2,fitness0.5,fitness-1,fitness-1.5,fitness-2,fitness-3,fitness-2.5,fitness-0.5,fitness0,fitness1.5,fitness1,fitness-3.5,fitness-4,fitness-4.5,fitness-5
14722,3.87355,-4.97523,1.68844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.911,NA,NA,NA,NA,NA,NA,NA
14939,2.70843,-2.61615,0.714615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.622,NA,NA,NA,NA,NA,NA,NA
15089,3.25354,-0.725017,1.50875,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15353,2.97158,-0.0681662,0.811723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15521,1.61809,-0.668196,0.85925,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15649,2.42466,-1.54638,1.67648,NA,NA,NA,NA,NA,NA,NA,NA,318.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15914,4.66597,-1.44905,1.36204,NA,NA,NA,NA,NA,NA,NA,NA,NA,3599.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16121,3.76619,0.430073,0.964874,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16257,3.9229,1.14455,1.04705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.272,NA,NA,NA,NA,NA,NA
16491,4.95928,1.13387,1.33708,NA,NA,NA,NA,NA,NA,NA,13.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16660,4.36694,-0.470784,0.890159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.39,NA,NA,NA,NA,NA,NA
16838,3.79366,0.513067,-1.1973,NA,NA,NA,NA,NA,NA,NA,62.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17027,3.27396,0.218357,-0.855743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121.487,NA,NA,NA,NA,NA,NA
17265,2.1423,-0.98943,-1.06432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.726,NA,NA,NA,NA,NA,NA
17590,0.0913224,-1.35591,-1.04187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631.236,NA,NA,NA,NA,NA,NA
17670,-0.143852,-0.289189,-0.576938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2751.234,NA,NA,NA,NA,NA,NA
17897,-2.01202,-0.600739,0.181345,NA,NA,NA,NA,NA,NA,NA,NA,685.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18174,-1.69096,-0.840418,1.72031,NA,NA,NA,NA,NA,NA,NA,NA,216.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18223,-1.32859,-1.07119,1.48354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.335,NA,NA,NA,NA,NA,NA,NA
