id,x0,x1,x2,fitness-2,fitness-4,fitness-3,fitness-5,fitness-4.5,fitness-3.5
34784,-1.77239,4.09386,-4.75987,NA,NA,NA,NA,-27.366,NA
34975,-1.93889,4.12818,-5,NA,NA,NA,-51.274,NA,NA
35024,-2.1397,4.6093,-5,NA,NA,NA,-60.739,NA,NA
35342,-1.58419,5,-5,NA,NA,NA,-77.286,NA,NA
35546,-2.53339,3.78601,-5,NA,NA,NA,NA,-57.139,NA
35725,-2.22984,4.26696,-5,NA,NA,NA,-49.595,NA,NA
35942,-2.01602,4.44893,-4.43051,NA,NA,NA,-59.875,NA,NA
36066,-2.13845,4.43758,-4.74713,NA,-62.803,NA,NA,NA,NA
36342,-0.901402,3.55715,-5,NA,NA,NA,NA,-65.394,NA
36408,-2.18175,3.40084,-5,NA,NA,NA,-56.359,NA,NA
36696,-1.9212,4.04185,-5,NA,NA,NA,NA,-34.361,NA
36953,-1.84146,3.79469,-5,NA,NA,NA,-44.46,NA,NA
37149,-1.79459,4.44213,-5,NA,NA,NA,-53.608,NA,NA
37239,-1.67796,5,-5,NA,NA,NA,-72.5,NA,NA
37466,-1.13953,3.95852,-5,NA,NA,NA,-49.737,NA,NA
37604,-2.28406,5,-5,NA,-80.598,NA,NA,NA,NA
37881,-1.79655,4.09184,-5,NA,-28.78,NA,NA,NA,NA
38196,-1.52815,3.38507,-5,NA,NA,NA,-46.879,NA,NA
38274,-1.68809,3.51957,-5,NA,NA,NA,-38.445,NA,NA
38526,-1.65664,3.24661,-5,NA,NA,NA,-48.498,NA,NA
38760,-2.51206,3.86298,-5,NA,NA,NA,NA,-54.915,NA
38844,-2.24637,4.08652,-4.64275,NA,NA,NA,-53.811,NA,NA
39159,-1.71749,3.43278,-5,NA,NA,NA,-35.174,NA,NA
39211,-1.59035,3.33152,-5,NA,NA,NA,-46.824,NA,NA
39553,-1.53023,3.83714,-4.94471,NA,NA,NA,-40.2,NA,NA
39783,-1.77604,3.47381,-5,NA,NA,NA,-39.899,NA,NA
39915,-1.2742,4.15346,-5,NA,-41.724,NA,NA,NA,NA
40093,-2.00804,4.08734,-5,NA,-56.858,NA,NA,NA,NA
40366,-1.70264,3.36933,-4.74533,NA,-28.06,NA,NA,NA,NA
40600,-1.37299,3.62279,-5,NA,NA,NA,-41.864,NA,NA
40727,-1.40859,3.95949,-5,NA,NA,NA,NA,-26.177,NA
40869,-1.20844,3.7842,-5,NA,NA,NA,-58.513,NA,NA
41048,-1.98395,3.3056,-5,NA,NA,NA,NA,-33.165,NA
41354,-1.22443,3.27186,-5,NA,NA,NA,NA,-45.789,NA
41539,-2.1214,3.36572,-5,NA,-66.096,NA,NA,NA,NA
41693,-2.15157,4.03595,-5,NA,-45.191,NA,NA,NA,NA
41916,-1.23332,3.34708,-4.82123,NA,-34.631,NA,NA,NA,NA
42061,-1.40605,3.65062,-5,NA,NA,NA,NA,-6.858,NA
42344,-1.89484,3.74313,-5,NA,-37.054,NA,NA,NA,NA
42477,-1.91069,3.86861,-5,NA,NA,NA,-38.124,NA,NA
42629,-2.86202,3.33458,-4.88022,NA,NA,NA,-70.769,NA,NA
42834,-1.61969,3.50615,-5,NA,-29.401,NA,NA,NA,NA
43189,-1.2853,3.63169,-5,NA,-17.213,NA,NA,NA,NA
43359,-2.25081,4.0286,-5,NA,NA,NA,-53.263,NA,NA
43519,-2.2808,3.94075,-5,NA,NA,NA,NA,-37.405,NA
43735,-1.93759,3.86495,-5,NA,-28.423,NA,NA,NA,NA
43991,-2.26924,3.4773,-5,NA,NA,NA,NA,NA,-68.632
44016,-1.5639,3.802,-4.91269,NA,NA,NA,-37.699,NA,NA
44392,-1.83862,3.6747,-5,NA,NA,NA,-40.206,NA,NA
44454,-0.914324,3.95071,-5,NA,NA,NA,NA,-63.679,NA
44677,-1.45905,4.52223,-5,NA,NA,NA,-60.371,NA,NA
44935,-1.96449,3.96524,-4.7782,NA,-33.843,NA,NA,NA,NA
45131,-1.5572,3.58104,-5,NA,-29.497,NA,NA,NA,NA
45314,-2.04185,4.27281,-4.78532,NA,NA,NA,NA,-35.543,NA
45565,-1.26368,4.23309,-5,NA,NA,NA,NA,-45.914,NA
45723,-1.5906,3.90391,-5,NA,NA,NA,NA,-19.688,NA
45948,-1.6289,4.33443,-5,NA,NA,NA,NA,-43.373,NA
46058,-1.59694,4.76795,-5,NA,NA,NA,NA,-58.385,NA
46213,-1.93491,4.49205,-5,NA,NA,NA,NA,-50.238,NA
46439,-2.03491,3.74602,-4.8012,NA,NA,NA,-31.473,NA,NA
46773,-2.13764,3.63549,-5,NA,NA,NA,-49.723,NA,NA
46924,-1.13443,4.2156,-5,NA,NA,NA,NA,-55.361,NA
47035,-1.41949,3.4755,-4.82953,NA,NA,NA,NA,-6.272,NA
47313,-1.31212,3.96784,-4.78109,NA,NA,NA,-42.568,NA,NA
47495,-1.67564,3.42907,-5,NA,-24.815,NA,NA,NA,NA
47775,-1.78501,4.13656,-4.62245,NA,NA,NA,NA,NA,-86.108
47974,-1.41729,3.62023,-4.61891,NA,NA,NA,NA,-16.887,NA
48128,-1.70626,4.11983,-4.96375,NA,NA,NA,NA,-31.043,NA
48268,-1.17804,3.82364,-5,NA,NA,NA,-66.317,NA,NA
48411,-1.85863,3.8672,-5,NA,NA,NA,-32.372,NA,NA
48667,-2.04036,4.16282,-5,NA,NA,NA,-58.316,NA,NA
48875,-2.33598,3.95812,-5,NA,NA,NA,-60.466,NA,NA
49136,-1.2215,4.17839,-5,NA,-41.348,NA,NA,NA,NA
49256,-2.25129,3.48273,-5,NA,NA,NA,-47.74,NA,NA
49562,-1.76785,3.98063,-5,NA,NA,NA,-47.154,NA,NA
49727,-1.83707,3.64165,-5,NA,NA,NA,-44.893,NA,NA
49886,-1.79227,3.46485,-5,NA,NA,NA,-34.043,NA,NA
50061,-1.92987,4.11151,-4.60435,NA,NA,NA,-51.349,NA,NA
50215,-1.93277,3.58705,-5,NA,NA,NA,-47.437,NA,NA
50571,-2.50929,3.91131,-4.71877,NA,NA,NA,-58.388,NA,NA
50744,-1.10266,4.3019,-5,NA,NA,NA,-50.911,NA,NA
50894,-1.27437,3.85858,-5,NA,NA,NA,-43.778,NA,NA
