id,x0,x1,x2,fitness-3,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
24726,1.19109,2.48071,-5,-44.668,NA,NA,NA,NA,NA,NA,NA,NA,NA
24840,1.87964,2.29826,-5,NA,NA,NA,-22.689,NA,NA,NA,NA,NA,NA
25147,2.60309,1.41257,-4.18099,NA,NA,NA,-23.115,NA,NA,NA,NA,NA,NA
25263,2.72493,1.9764,-4.59634,-31.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
25582,2.23511,2.309,-5,NA,-43.973,NA,NA,NA,NA,NA,NA,NA,NA
25737,3.06731,2.7879,-5,NA,NA,NA,NA,-83.104,NA,NA,NA,NA,NA
25873,1.88151,1.26395,-4.73947,NA,NA,NA,NA,-14.599,NA,NA,NA,NA,NA
26126,0.650144,1.98963,-5,NA,NA,NA,-48.505,NA,NA,NA,NA,NA,NA
26335,1.45185,1.65287,-4.5437,-8.229,NA,NA,NA,NA,NA,NA,NA,NA,NA
26571,1.95179,2.10643,-4.46986,NA,NA,NA,-8.879,NA,NA,NA,NA,NA,NA
26624,2.71032,2.94972,-4.6413,NA,NA,NA,-60.201,NA,NA,NA,NA,NA,NA
26998,3.30382,2.32165,-4.49952,NA,-78.036,NA,NA,NA,NA,NA,NA,NA,NA
27046,2.39112,2.70361,-5,NA,NA,NA,NA,NA,-56.813,NA,NA,NA,NA
27341,1.24187,3.22584,-5,NA,NA,NA,-70.529,NA,NA,NA,NA,NA,NA
27440,0.862637,1.91886,-3.8205,NA,NA,NA,NA,-38.886,NA,NA,NA,NA,NA
27611,1.26,2.73028,-4.04787,NA,NA,NA,-37.464,NA,NA,NA,NA,NA,NA
27842,1.96917,2.11134,-5,NA,NA,NA,-20.19,NA,NA,NA,NA,NA,NA
28191,2.41051,1.41073,-4.2813,NA,NA,NA,NA,-18.226,NA,NA,NA,NA,NA
28239,1.86182,2.51001,-4.0748,NA,NA,NA,NA,NA,NA,-71.577,NA,NA,NA
28502,2.51956,1.99753,-4.46531,NA,NA,NA,NA,NA,NA,-83.475,NA,NA,NA
28777,2.53259,1.79673,-4.45053,NA,NA,NA,NA,NA,-34.371,NA,NA,NA,NA
28975,2.20059,1.3236,-5,NA,NA,NA,NA,NA,-43.217,NA,NA,NA,NA
29160,2.48709,2.67318,-5,NA,NA,NA,NA,NA,-70.494,NA,NA,NA,NA
29393,2.88254,1.83978,-5,NA,NA,NA,NA,NA,-55.431,NA,NA,NA,NA
29501,1.48573,1.99876,-4.72348,NA,NA,NA,NA,-19.756,NA,NA,NA,NA,NA
29771,2.14722,2.52658,-3.94475,-35.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
29926,0.919658,1.46906,-3.77727,NA,NA,NA,NA,-47.147,NA,NA,NA,NA,NA
30136,0.581817,2.29866,-4.65922,-49.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
30386,1.0674,1.749,-5,NA,-40.939,NA,NA,NA,NA,NA,NA,NA,NA
30529,0.385712,1.83085,-5,NA,NA,NA,-62.686,NA,NA,NA,NA,NA,NA
