id,x0,x1,x2,fitness5,fitness4,fitness4.5,fitness3.5
47554,4.22992,4.36084,-2.02026,1878.602,NA,NA,NA
47796,4.25001,5,-1.20525,3125.291,NA,NA,NA
47980,5,5,-0.679131,10904.342,NA,NA,NA
48027,5,5,-0.768565,NA,NA,12380.784,NA
48335,5,5,-0.765168,12868.565,NA,NA,NA
48412,5,4.85472,-0.539109,7871.211,NA,NA,NA
48647,4.88447,5,-0.50366,3328.628,NA,NA,NA
48931,5,4.78077,-1.01106,8288.077,NA,NA,NA
49088,5,5,-0.908097,11284.842,NA,NA,NA
49366,5,4.77683,-2.08159,6163.616,NA,NA,NA
49526,5,4.66894,-2.15141,3039.755,NA,NA,NA
49690,5,5,-1.08312,2440.983,NA,NA,NA
49953,4.92205,4.99687,-0.923485,13792.129,NA,NA,NA
50165,5,5,-0.859542,12515.97,NA,NA,NA
50360,4.7642,4.30858,-0.428984,1250.201,NA,NA,NA
50510,5,4.89996,0.283283,4233.601,NA,NA,NA
50775,5,5,0.324589,4131.344,NA,NA,NA
50913,5,5,-0.594245,9691.146,NA,NA,NA
51160,4.81245,5,-1.08561,2970.404,NA,NA,NA
51205,4.46123,5,-1.41918,2677.052,NA,NA,NA
51477,4.73162,4.93142,-0.88019,NA,NA,16528.94,NA
51700,5,5,-0.982117,8214.093,NA,NA,NA
51885,5,5,-0.951975,9619.85,NA,NA,NA
52027,4.80828,4.37325,-1.2368,4480.112,NA,NA,NA
52363,5,5,-0.921336,10834.357,NA,NA,NA
52537,5,4.33727,-0.174124,4520.809,NA,NA,NA
52652,4.6271,5,-0.836395,7810.839,NA,NA,NA
52896,5,5,-0.545164,4764.861,NA,NA,NA
53175,5,5,-0.647615,9723.657,NA,NA,NA
53335,5,4.66628,-0.896956,9366.419,NA,NA,NA
53456,4.7877,4.42801,-1.48734,4994.45,NA,NA,NA
53640,5,5,-2.0882,4926.034,NA,NA,NA
53942,5,3.18252,-1.45685,3561.224,NA,NA,NA
54128,5,5,-0.885967,11930.353,NA,NA,NA
54263,5,4.71941,-1.00146,9942.986,NA,NA,NA
54470,5,4.69923,-0.661323,9822.463,NA,NA,NA
54673,5,5,-0.843878,12764.322,NA,NA,NA
54964,5,5,-0.907192,11313.913,NA,NA,NA
55140,5,5,-2.06578,NA,NA,5945.76,NA
55244,4.71958,4.28253,-1.61936,4817.558,NA,NA,NA
55452,5,5,-0.862766,12455.63,NA,NA,NA
55656,5,5,-2.05653,5313.42,NA,NA,NA
55967,5,4.58383,-0.703804,4402.511,NA,NA,NA
56145,4.91837,5,-0.533636,5272.151,NA,NA,NA
56343,4.7737,5,-0.585231,NA,2935.437,NA,NA
56553,5,5,-0.546248,4822.863,NA,NA,NA
56745,5,5,-0.757397,12776.272,NA,NA,NA
56927,5,5,-1.31851,NA,3963.548,NA,NA
57112,4.86922,5,-0.725702,NA,NA,5837.665,NA
57234,3.79297,4.80979,-1.4558,NA,NA,2921.744,NA
57531,4.83758,5,-0.329726,NA,NA,4617.538,NA
57773,5,5,-0.580295,6604.3,NA,NA,NA
57829,5,5,-1.0889,2082.025,NA,NA,NA
58025,5,4.82665,-0.892681,20332.093,NA,NA,NA
58308,5,5,-0.902412,11463.734,NA,NA,NA
58567,4.60095,4.82235,-0.720775,7450.335,NA,NA,NA
58648,5,5,-0.771386,12929.42,NA,NA,NA
58880,5,3.84272,-0.639216,3086.662,NA,NA,NA
