id,x0,x1,x2,fitness7.5,fitness8,fitness7,fitness9,fitness8.5,fitness6.5,fitness9.5
27902,8.61903,7.7689,7.25937,0.785,NA,NA,NA,NA,NA,NA
28142,7.71684,8.22984,8.2826,NA,0.855,NA,NA,NA,NA,NA
28328,7.66685,8.0049,8.08303,NA,NA,NA,NA,NA,0.763,NA
28542,7.55252,7.68243,7.62578,NA,NA,0.872,NA,NA,NA,NA
28696,7.31977,7.759,8.04387,NA,0.938,NA,NA,NA,NA,NA
28889,7.00311,6.93261,8.39771,0.668,NA,NA,NA,NA,NA,NA
29048,7.44133,7.35549,7.30673,0.909,NA,NA,NA,NA,NA,NA
29296,7.83045,8.2131,8.02422,0.928,NA,NA,NA,NA,NA,NA
29483,8.30391,8.08305,7.77361,NA,NA,0.841,NA,NA,NA,NA
29771,7.33268,6.49939,7.68264,0.652,NA,NA,NA,NA,NA,NA
29965,7.43796,7.21179,7.32152,0.866,NA,NA,NA,NA,NA,NA
30091,7.71275,7.42675,7.14444,NA,NA,0.77,NA,NA,NA,NA
30355,7.68936,7.09653,7.55701,NA,NA,0.798,NA,NA,NA,NA
30521,7.43696,7.14007,7.57734,0.908,NA,NA,NA,NA,NA,NA
30646,7.99332,8.22297,7.57594,NA,0.914,NA,NA,NA,NA,NA
30951,7.21141,8.01593,7.7828,0.926,NA,NA,NA,NA,NA,NA
31079,7.81375,7.60804,7.89206,NA,NA,NA,NA,0.867,NA,NA
31261,7.56839,7.74903,8.11477,0.963,NA,NA,NA,NA,NA,NA
31432,7.8787,8.32124,8.62889,0.736,NA,NA,NA,NA,NA,NA
31738,7.70925,8.47005,7.98987,NA,NA,0.749,NA,NA,NA,NA
31910,7.65141,8.63147,7.2906,0.817,NA,NA,NA,NA,NA,NA
32155,8.092,8.65771,7.48641,NA,0.809,NA,NA,NA,NA,NA
32391,7.82047,7.82393,7.02409,NA,0.892,NA,NA,NA,NA,NA
32439,7.94989,7.60158,7.66092,NA,0.942,NA,NA,NA,NA,NA
32784,7.68319,8.7262,7.37857,0.805,NA,NA,NA,NA,NA,NA
32860,7.86735,9.14218,8.24915,NA,0.647,NA,NA,NA,NA,NA
33092,7.12169,8.29785,8.1526,0.822,NA,NA,NA,NA,NA,NA
33291,7.6408,7.81735,7.85926,NA,NA,NA,NA,0.885,NA,NA
33541,8.2569,7.94264,7.53085,NA,NA,NA,NA,0.863,NA,NA
33744,7.3147,7.51389,8.20821,0.884,NA,NA,NA,NA,NA,NA
33929,6.8694,7.56337,7.98364,NA,NA,NA,NA,0.756,NA,NA
34099,7.43034,7.0876,7.98063,NA,0.851,NA,NA,NA,NA,NA
34362,8.33488,7.89884,7.2876,NA,NA,0.812,NA,NA,NA,NA
34478,7.58309,8.03609,7.97602,0.918,NA,NA,NA,NA,NA,NA
34751,8.15668,7.06987,7.18117,0.813,NA,NA,NA,NA,NA,NA
34811,8.06168,7.29168,7.95157,0.898,NA,NA,NA,NA,NA,NA
35163,8.6037,7.47252,7.8392,0.82,NA,NA,NA,NA,NA,NA
35357,8.18085,7.35481,8.04186,NA,0.907,NA,NA,NA,NA,NA
35402,7.62166,6.62795,7.80992,0.748,NA,NA,NA,NA,NA,NA
35670,7.69207,4.33527,8.0855,0.905,NA,NA,NA,NA,NA,NA
35865,7.71373,6.3661,7.96643,NA,0.642,NA,NA,NA,NA,NA
36092,8.02474,7.72543,8.31906,0.865,NA,NA,NA,NA,NA,NA
36335,8.30948,8.03842,7.27142,NA,0.853,NA,NA,NA,NA,NA
36588,7.65535,8.65493,7.84648,0.834,NA,NA,NA,NA,NA,NA
36775,7.7663,7.69965,7.94443,NA,0.984,NA,NA,NA,NA,NA
36809,7.72994,8.81292,8.2341,0.709,NA,NA,NA,NA,NA,NA
37143,7.89511,8.09119,7.44885,NA,0.948,NA,NA,NA,NA,NA
37334,7.9631,8.56444,7.63854,NA,0.851,NA,NA,NA,NA,NA
37442,7.79282,7.89938,7.43428,NA,0.944,NA,NA,NA,NA,NA
37719,7.5235,8.1692,7.83347,NA,NA,NA,0.751,NA,NA,NA
37854,7.43115,8.74987,8.36543,0.728,NA,NA,NA,NA,NA,NA
38042,7.45443,8.67203,7.35161,0.793,NA,NA,NA,NA,NA,NA
38340,7.71105,7.77353,7.34186,0.946,NA,NA,NA,NA,NA,NA
38467,7.11745,8.09836,7.24228,NA,0.826,NA,NA,NA,NA,NA
38731,7.67468,7.46467,7.35241,NA,0.935,NA,NA,NA,NA,NA
38919,7.73355,7.73908,7.41984,NA,0.935,NA,NA,NA,NA,NA
39127,7.57524,8.24605,7.94527,0.928,NA,NA,NA,NA,NA,NA
39340,7.17921,8.40653,7.70254,0.849,NA,NA,NA,NA,NA,NA
39503,7.78823,7.73759,7.82058,NA,0.972,NA,NA,NA,NA,NA
39709,8.10648,7.79744,7.75411,NA,0.947,NA,NA,NA,NA,NA
39882,8.06367,8.89437,8.32443,0.687,NA,NA,NA,NA,NA,NA
40118,8.10598,8.22326,7.0704,0.807,NA,NA,NA,NA,NA,NA
40399,7.68552,7.64543,8.18363,NA,NA,0.854,NA,NA,NA,NA
40473,7.26674,7.71415,8.15365,0.875,NA,NA,NA,NA,NA,NA
40666,7.63448,6.7205,8.85184,0.595,NA,NA,NA,NA,NA,NA
40963,7.90141,7.72195,6.59251,0.724,NA,NA,NA,NA,NA,NA
41066,7.73452,8.18485,7.20122,NA,NA,0.853,NA,NA,NA,NA
41295,8.01236,7.71987,8.20774,NA,0.923,NA,NA,NA,NA,NA
41441,7.94582,7.86777,7.10683,NA,0.9,NA,NA,NA,NA,NA
41684,8.84716,7.5038,7.37674,0.765,NA,NA,NA,NA,NA,NA
41837,7.92621,8.4495,7.77592,NA,0.845,NA,NA,NA,NA,NA
42185,7.90006,7.90072,8.43059,0.878,NA,NA,NA,NA,NA,NA
42387,7.3143,8.00177,7.64906,0.948,NA,NA,NA,NA,NA,NA
42407,7.19651,7.93221,7.59314,0.92,NA,NA,NA,NA,NA,NA
42636,7.2657,7.41169,7.92206,NA,0.927,NA,NA,NA,NA,NA
42806,8.05407,7.40412,7.80424,NA,NA,0.834,NA,NA,NA,NA
43165,8.05697,7.40876,7.47283,0.945,NA,NA,NA,NA,NA,NA
43305,8.04781,8.29181,7.45543,NA,0.897,NA,NA,NA,NA,NA
43507,8.18093,8.33038,7.32066,NA,0.844,NA,NA,NA,NA,NA
43796,7.15303,7.61087,6.81637,NA,0.757,NA,NA,NA,NA,NA
