id,x0,x1,x2,fitness8.5,fitness9,fitness7.5,fitness8,fitness7,fitness6.5,fitness9.5,fitness6,fitness10,fitness5,fitness5.5,fitness4,fitness3.5,fitness4.5
23469,8.29775,8.46301,6.73474,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
23775,8.29691,7.57564,5.9025,NA,NA,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA
23897,7.28201,6.43387,7.56276,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24157,7.12365,6.82209,8.20781,0.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24242,7.36739,7.62344,8.2759,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24561,8.12313,8.59797,8.16241,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24660,7.34941,8.67519,7.23522,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24826,7.29519,8.51412,8.58168,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25164,6.84236,9.1478,8.77538,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25242,7.85563,8.83358,8.28392,NA,NA,NA,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25565,8.59248,8.29338,8.65215,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25752,9.17557,8.10169,7.26851,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25866,8.41498,8.4688,6.90192,NA,NA,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26087,8.10818,8.21334,7.08925,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26376,7.70439,7.60112,6.7494,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26550,7.79976,7.3958,6.83825,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26736,7.99327,6.22802,9.08769,NA,NA,NA,NA,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
26912,8.34457,7.90837,8.7513,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27106,7.30429,7.05032,7.74287,NA,NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27364,7.81687,7.6016,6.87339,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27563,7.63655,8.35623,6.73585,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27776,7.93978,7.5698,6.13597,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27959,7.11462,7.12295,7.66194,NA,NA,NA,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28117,8.06874,7.45705,7.577,NA,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28316,7.91856,7.53785,7.71582,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28498,8.35879,8.31901,8.27558,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28751,8.20626,8.90145,7.43814,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28989,6.72049,8.19898,7.51768,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA
29188,6.39167,7.62529,6.89245,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29234,7.27573,8.52884,7.39644,NA,NA,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29460,8.27572,9.22633,7.83074,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29622,7.78879,9.52517,8.70238,NA,NA,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29843,8.11715,8.5727,8.23948,NA,NA,NA,NA,NA,NA,NA,0.403,NA,NA,NA,NA,NA,NA
30008,9.5018,8.34788,7.74602,NA,NA,0.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30382,8.33517,7.94957,8.08437,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30467,8.52481,8.34307,7.91028,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30686,7.83733,7.69658,7.02165,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30958,6.7396,7.62447,7.58105,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,NA,NA
31004,7.05322,7.51562,7.96215,NA,NA,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA,NA
31374,8.2687,7.521,7.3073,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31586,7.54174,7.77384,8.07166,NA,NA,NA,0.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31662,7.02339,7.49346,7.71601,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31863,7.20615,7.84829,7.1152,NA,NA,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32195,6.94787,8.40385,7.07817,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32350,6.93216,8.19072,6.95671,NA,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
