id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
29611,7.923,7.56766,7.77445,0.874,NA,NA,NA,NA,NA,NA
29843,7.55059,7.35954,8.1142,0.8,NA,NA,NA,NA,NA,NA
30004,7.42527,7.22578,7.43825,NA,NA,0.915,NA,NA,NA,NA
30354,7.70117,6.89418,8.42208,NA,0.766,NA,NA,NA,NA,NA
30596,7.80321,7.78157,8.25868,NA,NA,NA,NA,NA,NA,0.66
30757,7.87094,8.0004,7.64347,NA,0.976,NA,NA,NA,NA,NA
30826,8.20138,8.08062,7.22293,NA,NA,NA,0.782,NA,NA,NA
31091,7.84575,7.6926,7.57356,NA,NA,0.991,NA,NA,NA,NA
31227,7.8585,7.75219,7.56711,NA,NA,0.942,NA,NA,NA,NA
31407,6.93666,7.82643,7.96741,NA,0.836,NA,NA,NA,NA,NA
31692,8.28137,9.10358,7.87549,NA,NA,0.628,NA,NA,NA,NA
31964,8.19262,8.57704,7.37363,NA,0.801,NA,NA,NA,NA,NA
32141,7.7913,8.22244,8.18313,NA,NA,0.885,NA,NA,NA,NA
32332,7.92135,8.37191,7.8662,NA,NA,NA,0.76,NA,NA,NA
32443,7.59756,8.26698,6.90106,NA,0.762,NA,NA,NA,NA,NA
32604,7.69103,8.81018,7.62224,NA,0.806,NA,NA,NA,NA,NA
32836,6.84066,8.28468,7.46269,NA,NA,NA,0.67,NA,NA,NA
33002,7.50466,7.60224,7.66661,NA,NA,0.986,NA,NA,NA,NA
33387,7.36113,8.29425,7.67638,NA,NA,0.895,NA,NA,NA,NA
33550,7.66321,8.24203,7.8612,NA,0.94,NA,NA,NA,NA,NA
33713,7.37297,6.93963,7.00613,NA,NA,0.71,NA,NA,NA,NA
33835,7.22243,7.04986,7.69514,NA,NA,NA,0.735,NA,NA,NA
34142,8.11475,7.06166,7.88798,NA,NA,NA,0.761,NA,NA,NA
34275,7.93537,7.89044,7.47432,NA,NA,0.947,NA,NA,NA,NA
34540,7.72321,7.85696,7.11559,NA,0.908,NA,NA,NA,NA,NA
34792,6.85097,7.00578,7.48701,0.628,NA,NA,NA,NA,NA,NA
34862,8.34163,7.81776,7.72605,0.816,NA,NA,NA,NA,NA,NA
35101,7.89687,7.59664,8.26171,NA,0.932,NA,NA,NA,NA,NA
35346,7.37633,7.5968,8.21473,NA,NA,0.907,NA,NA,NA,NA
35419,8.41766,7.86582,7.49474,NA,NA,0.848,NA,NA,NA,NA
35685,7.97474,7.80448,7.67474,NA,0.974,NA,NA,NA,NA,NA
35866,8.11416,7.27377,7.92367,NA,NA,NA,0.751,NA,NA,NA
36143,8.3744,7.92222,8.63151,NA,NA,0.764,NA,NA,NA,NA
36397,7.73653,8.84479,8.18395,NA,0.749,NA,NA,NA,NA,NA
36436,7.44573,8.28944,7.13809,NA,NA,NA,0.78,NA,NA,NA
36789,8.40332,8.05987,7.84219,0.807,NA,NA,NA,NA,NA,NA
36871,7.99797,8.70275,7.67363,NA,0.789,NA,NA,NA,NA,NA
37021,7.41789,8.1621,7.28624,NA,0.891,NA,NA,NA,NA,NA
37206,7.0328,7.01134,7.52558,NA,NA,0.785,NA,NA,NA,NA
37512,7.00712,7.55516,7.35193,NA,0.86,NA,NA,NA,NA,NA
37661,6.76345,8.31701,7.91092,NA,NA,0.714,NA,NA,NA,NA
