id,x0,x1,x2,fitness5,fitness4,fitness3.5,fitness4.5,fitness6,fitness7,fitness7.5,fitness10,fitness9,fitness10.5,fitness8.5,fitness8,fitness6.5,fitness9.5,fitness3,fitness2.5,fitness5.5,fitness2
11594,8.07394,2.22628,8.61795,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11732,8.44369,2.25786,7.10854,NA,NA,NA,NA,NA,NA,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11865,6.05428,2.43576,8.40392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273,NA,NA,NA,NA,NA,NA,NA
12007,7.27371,3.58613,8.65351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA
12397,6.57376,4.12879,8.72273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,NA,NA,NA,NA
12562,7.86076,3.31011,7.66843,NA,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
12789,8.91146,3.21024,8.61365,NA,NA,NA,NA,NA,NA,NA,NA,-0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
12881,8.35323,4.08412,9.81019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA
13007,7.69179,5.65912,10.4444,NA,NA,NA,NA,NA,NA,-0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13374,8.20401,5.12628,9.46636,NA,NA,NA,NA,NA,NA,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13569,8.81592,4.19993,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,NA,NA,NA,NA,NA,NA,NA
13721,7.87024,4.81714,8.45905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA
13893,8.34762,6.27244,9.20813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193,NA,NA,NA,NA,NA,NA,NA
14030,8.9602,6.9756,8.14934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,NA,NA,NA,NA,NA
14281,8.70636,6.70038,6.63124,NA,NA,NA,NA,NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA
14514,7.45142,7.01917,6.37404,NA,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14671,7.51268,6.83574,5.52424,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14901,7.75898,7.57699,4.75272,NA,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15073,6.89109,6.93375,4.23387,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15202,7.46848,7.8581,4.15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA
15421,7.87909,8.43926,3.19723,NA,NA,NA,NA,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15744,7.66398,9.13552,4.4668,NA,NA,NA,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15854,8.29797,10.141,6.42508,NA,NA,NA,NA,NA,NA,NA,NA,-0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
16026,8.08483,9.8358,7.16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA
16237,7.45151,9.82518,7.93328,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16490,8.321,10.5,8.07549,NA,NA,NA,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16783,7.45117,9.88823,7.46464,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16814,9.31387,9.20208,8.30842,NA,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17150,9.33801,8.87047,8.00474,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17229,9.04533,7.86875,6.8593,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17424,6.89457,8.4237,6.81078,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17620,8.06763,7.90751,7.59652,NA,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17964,7.41431,9.04792,7.92043,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18007,8.09002,10.0826,7.23932,NA,NA,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18328,7.5829,8.35495,7.32609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,NA,NA,NA,NA,NA
18562,9.45457,8.48743,6.40901,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18617,8.64171,6.78854,8.65534,NA,NA,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
