id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9,fitness6.5,fitness9.5,fitness6
38199,7.54351,8.80117,6.73684,NA,NA,0.56,NA,NA,NA,NA,NA
38305,7.7442,7.74066,7.26251,NA,0.932,NA,NA,NA,NA,NA,NA
38536,7.65509,8.48271,7.21152,NA,NA,NA,0.779,NA,NA,NA,NA
38610,7.33363,7.76582,7.62804,NA,NA,NA,NA,0.73,NA,NA,NA
38878,7.89811,7.54179,8.70293,NA,0.814,NA,NA,NA,NA,NA,NA
39050,7.16162,8.09576,8.46384,NA,0.8,NA,NA,NA,NA,NA,NA
39363,6.94842,7.54183,7.15323,NA,0.806,NA,NA,NA,NA,NA,NA
39579,6.94967,8.41979,8.01536,0.705,NA,NA,NA,NA,NA,NA,NA
39734,7.40969,8.16897,7.16838,NA,NA,0.832,NA,NA,NA,NA,NA
39960,7.81146,7.2774,8.45193,NA,0.821,NA,NA,NA,NA,NA,NA
40106,6.93886,7.82627,6.93014,0.674,NA,NA,NA,NA,NA,NA,NA
40389,7.81208,8.07945,7.90621,0.893,NA,NA,NA,NA,NA,NA,NA
40524,7.54625,7.53412,7.21581,NA,0.931,NA,NA,NA,NA,NA,NA
40616,7.19999,7.4791,7.75229,NA,NA,NA,0.86,NA,NA,NA,NA
40814,7.38274,7.58074,7.81483,NA,NA,0.959,NA,NA,NA,NA,NA
41083,7.94829,7.40543,7.68042,NA,NA,NA,NA,0.766,NA,NA,NA
41305,7.90878,7.57555,7.57097,NA,NA,NA,0.853,NA,NA,NA,NA
41541,8.78651,7.23939,8.16259,NA,NA,0.702,NA,NA,NA,NA,NA
41643,8.62681,8.80053,7.80293,NA,0.652,NA,NA,NA,NA,NA,NA
41896,7.58825,7.06626,8.2741,NA,NA,0.84,NA,NA,NA,NA,NA
42064,7.60135,7.27653,8.4852,NA,0.825,NA,NA,NA,NA,NA,NA
42211,7.40697,7.30259,8.22146,NA,NA,NA,0.785,NA,NA,NA,NA
42510,8.14931,7.68081,7.62345,NA,NA,NA,0.807,NA,NA,NA,NA
42671,8.40725,7.16819,7.40752,NA,NA,NA,0.752,NA,NA,NA,NA
42943,7.89985,6.88881,8.0577,NA,NA,NA,NA,0.642,NA,NA,NA
43074,7.55866,7.16815,8.04785,NA,NA,NA,0.838,NA,NA,NA,NA
43217,7.80295,8.15107,7.69901,0.829,NA,NA,NA,NA,NA,NA,NA
43450,8.50281,8.54824,7.60182,NA,NA,0.729,NA,NA,NA,NA,NA
43666,7.54459,8.55359,7.42011,NA,NA,0.829,NA,NA,NA,NA,NA
43999,7.9176,7.87263,7.20462,0.866,NA,NA,NA,NA,NA,NA,NA
44096,6.44879,8.02341,7.94979,NA,0.665,NA,NA,NA,NA,NA,NA
44351,6.69196,7.06651,7.14957,NA,0.614,NA,NA,NA,NA,NA,NA
44512,7.62555,7.90224,7.19333,0.81,NA,NA,NA,NA,NA,NA,NA
44708,8.2943,7.91152,6.92738,0.74,NA,NA,NA,NA,NA,NA,NA
44929,9.05243,7.41436,8.50582,NA,NA,NA,0.493,NA,NA,NA,NA
45157,8.30808,8.21892,8.28963,NA,0.81,NA,NA,NA,NA,NA,NA
45264,7.44672,8.07595,8.91608,NA,0.713,NA,NA,NA,NA,NA,NA
45442,8.30036,8.42191,7.66538,0.698,NA,NA,NA,NA,NA,NA,NA
45730,8.71959,8.07537,8.13749,NA,NA,0.739,NA,NA,NA,NA,NA
45977,7.4676,8.45682,7.60338,NA,0.885,NA,NA,NA,NA,NA,NA
46037,7.30406,8.34973,8.33093,NA,0.817,NA,NA,NA,NA,NA,NA
46360,8.05053,8.40825,7.3395,0.773,NA,NA,NA,NA,NA,NA,NA
46410,8.24808,7.98093,6.79843,NA,0.735,NA,NA,NA,NA,NA,NA
46643,8.12311,8.02857,6.98124,NA,0.811,NA,NA,NA,NA,NA,NA
46962,6.94771,7.7909,7.81392,NA,0.872,NA,NA,NA,NA,NA,NA
47125,7.62756,8.50075,8.82304,NA,0.69,NA,NA,NA,NA,NA,NA
47340,7.22122,8.41804,8.17695,NA,NA,0.79,NA,NA,NA,NA,NA
47559,8.01764,8.24071,8.66952,NA,NA,0.731,NA,NA,NA,NA,NA
47698,7.21545,8.78829,7.76607,NA,NA,NA,0.594,NA,NA,NA,NA
47960,7.04565,8.67646,8.0428,NA,0.723,NA,NA,NA,NA,NA,NA
48071,7.514,8.62976,7.94605,NA,0.811,NA,NA,NA,NA,NA,NA
48246,8.11932,8.39636,7.92284,NA,NA,0.862,NA,NA,NA,NA,NA
48521,7.01604,7.09845,7.55898,NA,0.813,NA,NA,NA,NA,NA,NA
48637,7.27046,7.36984,7.07224,NA,0.839,NA,NA,NA,NA,NA,NA
48909,7.10588,8.1291,7.20186,NA,NA,0.828,NA,NA,NA,NA,NA
49144,7.62171,8.66731,7.67123,NA,NA,0.843,NA,NA,NA,NA,NA
49341,8.14288,7.43496,7.22271,NA,NA,NA,0.83,NA,NA,NA,NA
49523,8.531,6.23878,7.41822,NA,0.463,NA,NA,NA,NA,NA,NA
49720,7.52045,6.88628,7.66089,NA,NA,NA,0.748,NA,NA,NA,NA
49870,7.04256,6.78041,6.96616,NA,NA,0.585,NA,NA,NA,NA,NA
50157,6.57967,7.08154,7.7009,NA,NA,0.611,NA,NA,NA,NA,NA
50328,7.00376,7.17978,7.47064,NA,NA,NA,0.745,NA,NA,NA,NA
50530,7.47746,6.86971,7.8322,NA,NA,0.834,NA,NA,NA,NA,NA
50638,7.19881,8.58938,8.40963,NA,0.721,NA,NA,NA,NA,NA,NA
50901,7.49197,8.69168,7.99939,NA,NA,0.783,NA,NA,NA,NA,NA
51079,8.70385,7.51803,7.26165,NA,0.772,NA,NA,NA,NA,NA,NA
51206,8.36388,7.73247,8.27165,NA,0.839,NA,NA,NA,NA,NA,NA
51405,8.43633,9.77602,7.08117,0.328,NA,NA,NA,NA,NA,NA,NA
51615,7.74375,10.1721,7.85292,NA,NA,0.469,NA,NA,NA,NA,NA
51888,7.14848,8.44683,8.43207,NA,NA,NA,0.565,NA,NA,NA,NA
52116,8.19338,7.37426,7.46717,NA,NA,NA,0.86,NA,NA,NA,NA
52223,7.64428,6.88334,6.89546,NA,0.696,NA,NA,NA,NA,NA,NA
52480,7.64745,6.35338,6.98279,NA,NA,0.548,NA,NA,NA,NA,NA
52759,7.90316,6.50929,7.27167,0.516,NA,NA,NA,NA,NA,NA,NA
52921,7.88355,7.70998,6.81406,NA,NA,NA,0.66,NA,NA,NA,NA
53197,7.6171,8.26039,6.79396,NA,0.727,NA,NA,NA,NA,NA,NA
53397,7.43584,8.64108,8.90294,NA,0.61,NA,NA,NA,NA,NA,NA
53440,7.6992,7.78789,7.97955,0.854,NA,NA,NA,NA,NA,NA,NA
53699,7.95535,8.34708,7.76517,NA,0.866,NA,NA,NA,NA,NA,NA
53892,7.63115,7.46341,7.93474,NA,NA,NA,0.865,NA,NA,NA,NA
54029,8.10032,7.1048,7.61064,NA,NA,NA,0.801,NA,NA,NA,NA
54228,7.56997,7.27659,7.77197,0.897,NA,NA,NA,NA,NA,NA,NA
54451,8.04828,8.58509,7.51778,NA,0.794,NA,NA,NA,NA,NA,NA
54674,8.00173,8.11828,7.31545,NA,0.916,NA,NA,NA,NA,NA,NA
54820,7.36022,8.86809,7.81043,NA,NA,0.762,NA,NA,NA,NA,NA
55117,7.76551,8.20444,7.32428,NA,0.915,NA,NA,NA,NA,NA,NA
55242,8.17153,8.14882,7.18018,NA,0.859,NA,NA,NA,NA,NA,NA
55466,7.96739,8.03191,6.49109,NA,NA,0.639,NA,NA,NA,NA,NA
55747,7.27116,7.47849,6.80804,NA,NA,0.747,NA,NA,NA,NA,NA
55807,6.80084,7.8555,7.51603,0.739,NA,NA,NA,NA,NA,NA,NA
56164,7.27528,7.97408,7.109,0.727,NA,NA,NA,NA,NA,NA,NA
56260,8.04239,8.39976,8.42411,NA,NA,NA,0.732,NA,NA,NA,NA
56422,7.69433,7.85749,8.38921,NA,0.883,NA,NA,NA,NA,NA,NA
56603,8.13374,7.37867,7.80683,NA,NA,0.909,NA,NA,NA,NA,NA
56978,7.39643,8.1445,8.09775,NA,0.888,NA,NA,NA,NA,NA,NA
57063,7.24669,8.69166,7.91463,NA,0.785,NA,NA,NA,NA,NA,NA
57296,7.5679,7.46208,7.88234,NA,0.949,NA,NA,NA,NA,NA,NA
57521,6.26112,7.65497,7.93884,0.54,NA,NA,NA,NA,NA,NA,NA
57630,7.2692,7.91952,7.8224,NA,NA,NA,0.827,NA,NA,NA,NA
57819,6.69634,8.41796,8.37423,NA,NA,0.573,NA,NA,NA,NA,NA
58124,8.08675,7.59324,8.04192,NA,0.943,NA,NA,NA,NA,NA,NA
58235,8.48336,7.61909,9.35672,NA,0.55,NA,NA,NA,NA,NA,NA
58416,8.02819,7.4325,8.29623,NA,0.896,NA,NA,NA,NA,NA,NA
