id,x0,x1,x2,fitness5.5,fitness7,fitness8.5,fitness8,fitness9.5,fitness10,fitness7.5,fitness6.5,fitness9,fitness6,fitness4.5,fitness4,fitness5,fitness3.5,fitness10.5
20534,7.89245,7.55861,8.41215,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20783,8.10826,5.81113,8.14546,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA,NA
20831,8.22046,4.91829,8.04587,NA,NA,NA,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21156,7.71284,3.68304,8.72369,NA,NA,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,NA,NA,NA
21371,7.35266,2.4981,7.84428,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21479,7.45361,2.23932,7.86296,NA,NA,NA,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA,NA,NA
21720,7.1434,3.23389,7.82265,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21965,7.37004,3.59207,7.88586,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22145,7.99697,4.0151,8.72037,NA,NA,NA,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
22268,7.52519,2.50754,9.36381,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22428,7.75033,2.14352,9.00613,NA,NA,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA
22742,7.84675,3.75641,9.14323,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22988,7.54038,4.8319,7.4875,NA,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23198,8.02117,4.97732,7.7699,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23376,7.58193,4.29534,7.37569,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA
23472,7.37596,5.14018,7.34826,NA,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA
23710,6.92711,4.37676,8.4571,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23832,8.74718,4.51026,7.57217,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24164,9.26672,4.46759,7.28248,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24288,8.87921,4.12909,7.13982,NA,NA,NA,NA,NA,NA,NA,NA,0.485,NA,NA,NA,NA,NA,NA
24494,9.12561,3.8855,7.0196,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24729,8.86198,3.67032,7.76524,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24803,8.63482,3.57684,8.55309,NA,NA,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25197,8.06172,4.38527,10.0355,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25317,7.23972,5.08927,8.96131,NA,NA,NA,NA,NA,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA
25527,7.85673,6.53754,8.41398,NA,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA
25619,7.86778,6.22027,7.44017,NA,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25839,8.79806,7.19436,7.73165,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA
26184,8.61198,7.41342,6.18191,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26245,8.96614,7.08392,7.27454,NA,NA,NA,NA,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA
26412,8.14486,7.03181,6.93774,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26766,7.46746,7.34595,8.21207,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA
26961,6.28695,8.14327,7.57612,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27077,7.38844,8.39994,8.48276,NA,NA,NA,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27261,8.27365,8.26182,7.95818,NA,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA,NA,NA,NA,NA
27469,8.91402,7.59623,7.71032,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA
27743,8.17442,7.83586,6.82478,NA,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27939,7.09824,8.25985,6.73161,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28027,8.00837,7.96175,6.93967,NA,NA,NA,NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA
28244,7.20083,8.15679,7.82199,NA,NA,NA,NA,NA,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA
28475,7.89633,7.42264,7.93598,NA,NA,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28664,7.59226,8.11523,8.31444,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28993,7.72051,7.8721,8.66751,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29045,7.16594,7.45151,8.2318,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29236,8.92019,8.02317,9.17875,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA
29445,8.58396,8.17475,9.10417,NA,NA,NA,0.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29654,9.00625,8.27996,7.44639,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA
29917,8.59261,9.04767,7.88007,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30011,7.37991,8.99328,7.13978,NA,NA,NA,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA,NA,NA
30240,7.22425,8.63433,9.34443,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
