id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
22037,0.902228,1.9645,-4.27957,NA,NA,NA,-42.705,NA,NA,NA
22313,0.902811,2.01294,-4.23457,-26.41,NA,NA,NA,NA,NA,NA
22520,1.58551,1.77089,-4.15555,NA,-13.325,NA,NA,NA,NA,NA
22737,1.66899,1.95844,-4.06738,NA,-15.057,NA,NA,NA,NA,NA
22926,1.6775,1.94633,-4.33174,-5.039,NA,NA,NA,NA,NA,NA
23087,1.19595,1.34357,-3.78254,-26.06,NA,NA,NA,NA,NA,NA
23229,2.69486,1.64363,-4.67091,-25.962,NA,NA,NA,NA,NA,NA
23495,2.70654,2.48731,-5,-46.771,NA,NA,NA,NA,NA,NA
23628,2.47197,1.37719,-4.46151,NA,NA,-30.021,NA,NA,NA,NA
23830,1.50455,1.53548,-4.78332,NA,-20.972,NA,NA,NA,NA,NA
24137,2.12182,1.88689,-3.49493,NA,-36.426,NA,NA,NA,NA,NA
24269,2.07709,2.03072,-4.68624,NA,-20.516,NA,NA,NA,NA,NA
24456,1.95101,2.63659,-4.73001,NA,-36.029,NA,NA,NA,NA,NA
24788,1.26777,1.00428,-4.24143,NA,-35.712,NA,NA,NA,NA,NA
24857,1.75092,1.92648,-3.66306,-16.69,NA,NA,NA,NA,NA,NA
25176,2.12249,1.98231,-4.56559,NA,-14.828,NA,NA,NA,NA,NA
25244,2.48826,1.38386,-5,NA,NA,-33.828,NA,NA,NA,NA
25563,1.81093,2.31099,-5,-22.982,NA,NA,NA,NA,NA,NA
25628,2.68911,1.75215,-4.28206,NA,-31.138,NA,NA,NA,NA,NA
25950,1.88838,1.76237,-4.6492,NA,-10.103,NA,NA,NA,NA,NA
26194,1.01201,1.69607,-5,NA,NA,-36.338,NA,NA,NA,NA
26365,1.94859,1.21814,-4.10377,NA,NA,NA,NA,-49.483,NA,NA
26544,1.33436,1.34499,-3.733,NA,NA,-25.776,NA,NA,NA,NA
26760,2.70642,1.42421,-4.03803,NA,NA,NA,-47.52,NA,NA,NA
26958,2.00917,1.41425,-4.08167,NA,-8.403,NA,NA,NA,NA,NA
27095,1.26876,1.4796,-4.1065,-12.142,NA,NA,NA,NA,NA,NA
27251,1.43388,1.86813,-5,-18.62,NA,NA,NA,NA,NA,NA
27582,1.50394,1.79145,-5,NA,NA,NA,NA,-39.884,NA,NA
27757,1.92731,2.0603,-5,NA,NA,-20.468,NA,NA,NA,NA
27977,1.87092,2.39851,-4.15587,-16.764,NA,NA,NA,NA,NA,NA
28185,2.02539,0.677569,-5,NA,NA,-69.97,NA,NA,NA,NA
28289,2.68903,1.58121,-5,-33.617,NA,NA,NA,NA,NA,NA
28574,2.84146,1.33006,-4.98174,NA,-49.118,NA,NA,NA,NA,NA
28781,1.25334,1.31763,-4.96083,-28.876,NA,NA,NA,NA,NA,NA
