id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
27964,1.32571,2.40438,-4.04479,NA,NA,NA,-27.528,NA
28088,2.04577,1.78015,-3.70958,NA,NA,NA,-21.987,NA
28396,1.69808,1.03519,-4.41756,NA,NA,-16.217,NA,NA
28402,2.67884,2.17547,-4.04615,NA,NA,-30.866,NA,NA
28710,1.51768,1.56403,-3.11806,NA,NA,NA,-46.798,NA
28826,1.60251,2.11407,-3.73521,NA,NA,NA,-20.8,NA
29072,2.11315,1.73416,-4.37716,NA,NA,NA,NA,-32.134
29367,2.20927,1.50868,-4.29994,NA,NA,NA,-8.599,NA
29478,1.92762,1.8223,-4.64307,NA,NA,-6.839,NA,NA
29664,1.6832,2.06693,-4.06726,NA,NA,NA,-14.229,NA
29982,2.37029,1.72782,-4.62662,NA,NA,NA,-16.789,NA
30121,1.5895,2.04084,-4.67573,NA,NA,NA,-19.013,NA
30342,1.62077,1.73819,-4.9791,NA,NA,-15.411,NA,NA
30479,1.85007,1.94569,-4.44869,NA,NA,-4.423,NA,NA
30601,2.24928,1.82679,-4.74357,NA,NA,-12.933,NA,NA
30824,2.51403,1.90521,-4.3131,-21.577,NA,NA,NA,NA
31120,1.78037,2.3872,-4.50027,NA,NA,-16.135,NA,NA
31271,2.4606,2.23838,-4.86723,NA,NA,NA,NA,-40.84
31533,1.89232,1.13268,-4.58803,NA,NA,-13.386,NA,NA
31745,2.06716,1.88688,-3.19065,NA,NA,-40.378,NA,NA
31925,2.25814,1.72122,-4.19795,NA,NA,-9.045,NA,NA
32178,1.96557,1.14457,-4.09909,NA,NA,NA,-15.933,NA
32283,2.01953,1.28305,-4.87205,NA,NA,NA,-22.082,NA
32505,1.94376,2.08018,-4.47955,NA,NA,-7.85,NA,NA
32743,1.64341,1.97961,-4.38798,NA,NA,NA,-14.372,NA
32986,1.68555,1.88573,-4.61714,-8.379,NA,NA,NA,NA
33145,1.75835,2.40669,-4.64696,NA,-38.364,NA,NA,NA
33390,1.23109,1.86228,-4.42058,-14.299,NA,NA,NA,NA
33586,1.33614,1.57715,-4.78045,-18.159,NA,NA,NA,NA
33791,1.38102,1.51454,-4.66334,NA,NA,-9.956,NA,NA
33837,1.32277,1.49015,-4.22982,NA,NA,NA,-9.908,NA
34135,2.11172,1.42638,-4.31347,-9.907,NA,NA,NA,NA
34379,1.80003,1.82932,-3.80175,NA,-30.678,NA,NA,NA
34497,1.55988,2.37087,-4.4121,-17.807,NA,NA,NA,NA
34654,2.04256,1.90504,-3.45108,NA,NA,-27.038,NA,NA
34983,1.50313,2.9914,-3.91425,-51.548,NA,NA,NA,NA
35014,1.8001,1.75482,-4.40847,-12.604,NA,NA,NA,NA
35281,0.960435,2.11414,-4.31263,NA,NA,-26.417,NA,NA
35449,1.57952,1.73173,-3.70621,NA,NA,-14.023,NA,NA
35740,1.45864,1.77684,-3.97097,-24.167,NA,NA,NA,NA
35948,2.04077,1.20565,-3.95469,-24.403,NA,NA,NA,NA
36088,1.2364,2.00728,-3.83339,-26.25,NA,NA,NA,NA
36374,2.51513,1.63063,-3.83332,NA,NA,-24.341,NA,NA
36421,1.46901,2.21163,-4.62945,NA,NA,NA,-21.031,NA
36772,1.69674,1.74579,-3.93813,NA,NA,-6.019,NA,NA
36931,2.35193,1.80266,-4.16331,NA,NA,NA,-18.917,NA
37060,1.62436,1.67459,-4.88597,NA,NA,NA,-13.024,NA
37238,2.30609,2.09348,-3.97915,NA,NA,-18.02,NA,NA
37413,1.98012,2.53908,-4.15425,NA,NA,-23.049,NA,NA
37796,2.4917,2.27884,-3.91062,NA,NA,-29.019,NA,NA
37838,1.48972,1.86123,-3.52133,NA,NA,-25.068,NA,NA
38058,1.68533,1.7372,-4.8448,NA,NA,NA,-16.056,NA
38210,1.45489,1.74778,-4.67399,-10.108,NA,NA,NA,NA
38600,1.91791,2.05804,-4.26213,-19.021,NA,NA,NA,NA
38704,1.75936,1.7569,-4.55205,-5.529,NA,NA,NA,NA
38924,1.76301,1.59623,-3.69858,NA,NA,-14.334,NA,NA
39195,1.32594,2.21897,-4.15714,NA,NA,NA,-17.257,NA
39264,1.74774,1.89204,-3.97309,NA,NA,NA,-14.004,NA
39410,2.18583,2.24606,-4.31698,NA,NA,NA,-18.92,NA
39680,1.71829,1.89677,-4.29913,NA,NA,NA,NA,-20.936
39950,1.69207,1.46564,-3.90546,NA,NA,NA,NA,-39.223
40122,1.89313,2.26441,-4.93588,-21.701,NA,NA,NA,NA
40221,1.54317,2.05521,-4.06279,NA,NA,-9.685,NA,NA
40415,1.39758,1.88703,-4.92779,NA,NA,-17.213,NA,NA
40708,2.08464,2.06823,-4.36987,-15.056,NA,NA,NA,NA
40832,2.04543,2.23579,-4.45667,NA,NA,-12.714,NA,NA
41041,1.59318,1.83059,-4.93583,NA,NA,-13.864,NA,NA
41286,2.13861,1.67198,-4.7984,-14.845,NA,NA,NA,NA
41548,1.48625,1.13045,-4.47069,NA,NA,-15.263,NA,NA
41715,1.11162,1.46557,-4.68173,NA,NA,-22.392,NA,NA
41903,1.02114,1.9348,-4.6972,NA,NA,-24.463,NA,NA
42146,1.32552,1.82474,-3.76888,NA,-40.349,NA,NA,NA
42392,1.7537,1.54475,-4.37104,NA,NA,-0.248,NA,NA
42482,1.55773,1.99083,-4.61943,NA,NA,-8.668,NA,NA
42767,1.17295,2.1867,-3.55622,NA,NA,-34.141,NA,NA
42955,1.8123,1.36495,-4.85004,NA,NA,-11.894,NA,NA
43122,1.53625,1.41996,-4.55925,NA,NA,-5.667,NA,NA
43272,1.70931,2.40569,-4.8562,NA,NA,NA,-25.194,NA
43456,1.31506,1.52049,-4.47111,-11.608,NA,NA,NA,NA
43734,1.41011,1.3447,-4.63709,NA,NA,-13.993,NA,NA
43872,1.89712,1.27191,-4.81673,NA,NA,-13.932,NA,NA
44109,2.07792,1.89326,-4.46764,NA,NA,-6.103,NA,NA
44380,2.06546,1.67553,-4.86301,NA,NA,NA,-20.243,NA
44507,1.86271,2.41997,-4.66488,NA,NA,NA,-29.552,NA
44757,1.74938,1.63454,-4.87013,NA,NA,NA,-18.726,NA
44961,2.07887,0.763193,-4.91342,NA,NA,-49.01,NA,NA
45080,1.65178,1.58149,-4.21579,NA,NA,-1.846,NA,NA
45280,1.92917,1.16469,-4.10524,NA,NA,-12.029,NA,NA
45552,1.64987,1.72687,-3.48979,NA,NA,NA,-33.737,NA
45746,1.62824,1.66705,-4.32561,NA,NA,NA,-9.949,NA
45825,1.95079,2.08285,-4.58814,NA,NA,-9.063,NA,NA
46180,1.84322,1.9572,-4.11475,-13.516,NA,NA,NA,NA
46287,1.31092,2.30072,-4.24322,NA,NA,-18.193,NA,NA
46529,0.97269,1.79677,-4.603,NA,NA,-23.921,NA,NA
