id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness9.5
30325,6.80404,7.63332,7.68407,NA,NA,NA,NA,NA,0.639,NA
30577,8.13244,7.82041,6.68334,NA,0.727,NA,NA,NA,NA,NA
30644,8.10155,7.45093,8.44051,NA,NA,0.818,NA,NA,NA,NA
30990,7.80412,8.15337,7.17306,0.788,NA,NA,NA,NA,NA,NA
31093,8.13924,7.80401,7.33116,NA,NA,0.931,NA,NA,NA,NA
31365,7.35594,8.05362,7.75646,NA,NA,0.944,NA,NA,NA,NA
31501,8.14215,7.44912,8.5516,NA,0.813,NA,NA,NA,NA,NA
31721,7.75005,7.31369,7.48863,NA,NA,0.955,NA,NA,NA,NA
31831,7.74236,8.06514,7.49224,NA,0.96,NA,NA,NA,NA,NA
32095,7.55448,7.40703,8.30161,0.782,NA,NA,NA,NA,NA,NA
32228,7.98866,8.02262,7.7988,NA,0.942,NA,NA,NA,NA,NA
32484,6.96104,8.55635,7.95639,NA,0.709,NA,NA,NA,NA,NA
32726,8.19332,8.23833,7.28096,NA,0.819,NA,NA,NA,NA,NA
32931,7.79941,7.39589,8.14869,NA,NA,0.938,NA,NA,NA,NA
33109,8.37872,7.52982,6.77932,NA,0.726,NA,NA,NA,NA,NA
33393,7.18792,7.63552,7.95251,NA,0.909,NA,NA,NA,NA,NA
33413,7.39834,7.68793,8.40806,NA,NA,NA,0.765,NA,NA,NA
33745,7.34703,7.46237,8.57366,NA,NA,NA,0.742,NA,NA,NA
33903,7.49873,7.59534,7.83894,NA,NA,0.984,NA,NA,NA,NA
34086,7.24479,7.44058,7.62981,NA,NA,0.913,NA,NA,NA,NA
34265,6.82403,7.34986,7.85916,0.741,NA,NA,NA,NA,NA,NA
34507,7.66566,7.93321,8.156,NA,NA,NA,0.873,NA,NA,NA
34725,8.39455,7.68568,7.46806,NA,NA,0.9,NA,NA,NA,NA
34969,7.60568,7.93125,7.56952,NA,0.964,NA,NA,NA,NA,NA
35158,7.76803,7.364,8.50354,NA,0.859,NA,NA,NA,NA,NA
35227,7.29433,7.21204,7.45338,NA,NA,0.859,NA,NA,NA,NA
35469,7.56727,7.16032,7.07405,NA,NA,NA,0.782,NA,NA,NA
35628,7.95486,7.90761,7.30216,NA,0.937,NA,NA,NA,NA,NA
35988,7.21081,8.74603,7.79106,NA,NA,0.728,NA,NA,NA,NA
36050,7.69625,8.5244,7.31731,NA,NA,0.845,NA,NA,NA,NA
36280,7.95561,7.6145,7.24484,NA,0.91,NA,NA,NA,NA,NA
36486,7.84498,8.22644,7.60913,NA,0.941,NA,NA,NA,NA,NA
36747,8.34492,8.49833,7.44722,NA,NA,0.798,NA,NA,NA,NA
36893,8.33936,8.94783,7.68547,NA,NA,0.694,NA,NA,NA,NA
37074,8.6294,8.27533,7.23202,NA,NA,NA,0.682,NA,NA,NA
37361,8.22036,7.77263,7.78053,NA,NA,0.947,NA,NA,NA,NA
